name,url
STEPN,https://coinmarketcap.com/currencies/green-metaverse-token/
yearn.finance,https://coinmarketcap.com/currencies/yearn-finance/
SwissBorg,https://coinmarketcap.com/currencies/swissborg/
Golem,https://coinmarketcap.com/currencies/golem-network-tokens/
Theta Fuel,https://coinmarketcap.com/currencies/theta-fuel/
Kadena,https://coinmarketcap.com/currencies/kadena/
Mask Network,https://coinmarketcap.com/currencies/mask-network/
IoTeX,https://coinmarketcap.com/currencies/iotex/
Terra,https://coinmarketcap.com/currencies/terra-luna-v2/
Ankr,https://coinmarketcap.com/currencies/ankr/
Waves,https://coinmarketcap.com/currencies/waves/
JUST,https://coinmarketcap.com/currencies/just/
Polymath,https://coinmarketcap.com/currencies/polymath-network/
Dogelon Mars,https://coinmarketcap.com/currencies/dogelon/
Chia,https://coinmarketcap.com/currencies/chia-network/
Symbol,https://coinmarketcap.com/currencies/symbol/
Moonbeam,https://coinmarketcap.com/currencies/moonbeam/
Harmony,https://coinmarketcap.com/currencies/harmony/
Gala,https://coinmarketcap.com/currencies/gala/
Livepeer,https://coinmarketcap.com/currencies/livepeer/
JasmyCoin,https://coinmarketcap.com/currencies/jasmy/
Reserve Rights,https://coinmarketcap.com/currencies/reserve-rights/
BinaryX,https://coinmarketcap.com/currencies/binaryx/
OMG Network,https://coinmarketcap.com/currencies/omg/
Ontology,https://coinmarketcap.com/currencies/ontology/
Hive,https://coinmarketcap.com/currencies/hive-blockchain/
0x,https://coinmarketcap.com/currencies/0x/
ICON,https://coinmarketcap.com/currencies/icon/
WOO Network,https://coinmarketcap.com/currencies/wootrade/
Astar,https://coinmarketcap.com/currencies/astar/
Siacoin,https://coinmarketcap.com/currencies/siacoin/
SafePal,https://coinmarketcap.com/currencies/safepal/
IOST,https://coinmarketcap.com/currencies/iostoken/
Threshold,https://coinmarketcap.com/currencies/threshold/
Celsius,https://coinmarketcap.com/currencies/celsius/
Storj,https://coinmarketcap.com/currencies/storj/
Audius,https://coinmarketcap.com/currencies/audius/
Amp,https://coinmarketcap.com/currencies/amp/
Flux,https://coinmarketcap.com/currencies/zel/
MAGIC,https://coinmarketcap.com/currencies/magic-token/
BORA,https://coinmarketcap.com/currencies/bora/
Bone ShibaSwap,https://coinmarketcap.com/currencies/bone-shibaswap/
Horizen,https://coinmarketcap.com/currencies/horizen/
DigiByte,https://coinmarketcap.com/currencies/digibyte/
Ribbon Finance,https://coinmarketcap.com/currencies/ribbon-finance/
Render Token,https://coinmarketcap.com/currencies/render-token/
WAX,https://coinmarketcap.com/currencies/wax/
APENFT,https://coinmarketcap.com/currencies/apenft/
ABBC Coin,https://coinmarketcap.com/currencies/abbc-coin/
SXP,https://coinmarketcap.com/currencies/sxp/
Braintrust,https://coinmarketcap.com/currencies/braintrust/
ssv.network,https://coinmarketcap.com/currencies/ssv-network/
Injective,https://coinmarketcap.com/currencies/injective/
Secret,https://coinmarketcap.com/currencies/secret/
UMA,https://coinmarketcap.com/currencies/uma/
Energy Web Token,https://coinmarketcap.com/currencies/energy-web-token/
ConstitutionDAO,https://coinmarketcap.com/currencies/constitutiondao/
MXC,https://coinmarketcap.com/currencies/mxc/
PlayDapp,https://coinmarketcap.com/currencies/playdapp/
Ocean Protocol,https://coinmarketcap.com/currencies/ocean-protocol/
dYdX,https://coinmarketcap.com/currencies/dydx/
Smooth Love Potion,https://coinmarketcap.com/currencies/smooth-love-potion/
Lisk,https://coinmarketcap.com/currencies/lisk/
Tribe,https://coinmarketcap.com/currencies/tribe/
Kyber Network Crystal v2,https://coinmarketcap.com/currencies/kyber-network-crystal-v2/
Pundi X (New),https://coinmarketcap.com/currencies/pundix-new/
Nano,https://coinmarketcap.com/currencies/nano/
SKALE,https://coinmarketcap.com/currencies/skale-network/
Civic,https://coinmarketcap.com/currencies/civic/
Voyager Token,https://coinmarketcap.com/currencies/voyager-token/
Frax Share,https://coinmarketcap.com/currencies/frax-share/
MediBloc,https://coinmarketcap.com/currencies/medibloc/
iExec RLC,https://coinmarketcap.com/currencies/rlc/
Request,https://coinmarketcap.com/currencies/request/
Aragon,https://coinmarketcap.com/currencies/aragon/
Illuvium,https://coinmarketcap.com/currencies/illuvium/
Vulcan Forged PYR,https://coinmarketcap.com/currencies/vulcan-forged-pyr/
Ontology Gas,https://coinmarketcap.com/currencies/ontology-gas/
Celer Network,https://coinmarketcap.com/currencies/celer-network/
Chromia,https://coinmarketcap.com/currencies/chromia/
LooksRare,https://coinmarketcap.com/currencies/looksrare/
WINkLink,https://coinmarketcap.com/currencies/wink/
Numeraire,https://coinmarketcap.com/currencies/numeraire/
Ren,https://coinmarketcap.com/currencies/ren/
Synapse,https://coinmarketcap.com/currencies/synapse-2/
MX TOKEN,https://coinmarketcap.com/currencies/mx-token/
Nervos Network,https://coinmarketcap.com/currencies/nervos-network/
MetisDAO,https://coinmarketcap.com/currencies/metisdao/
Wrapped TRON,https://coinmarketcap.com/currencies/wrapped-tron/
HEX,https://coinmarketcap.com/currencies/hex/
Lido Staked ETH,https://coinmarketcap.com/currencies/steth/
Wrapped BNB,https://coinmarketcap.com/currencies/wbnb/
Frax,https://coinmarketcap.com/currencies/frax/
Bitcoin BEP2,https://coinmarketcap.com/currencies/bitcoin-bep2/
Huobi BTC,https://coinmarketcap.com/currencies/huobi-btc/
BitTorrent,https://coinmarketcap.com/currencies/bittorrent/
FTX Token,https://coinmarketcap.com/currencies/ftx-token/
Tether Gold,https://coinmarketcap.com/currencies/tether-gold/
T-mac DAO,https://coinmarketcap.com/currencies/t-mac-dao/
Radix,https://coinmarketcap.com/currencies/radix-protocol/
GensoKishi Metaverse,https://coinmarketcap.com/currencies/gensokishis-metaverse/
NXM,https://coinmarketcap.com/currencies/nxm/
USDJ,https://coinmarketcap.com/currencies/usdj/
Bitget Token,https://coinmarketcap.com/currencies/bitget-token-new/
DeFiChain,https://coinmarketcap.com/currencies/defichain/
Rocket Pool,https://coinmarketcap.com/currencies/rocket-pool/
Liquity USD,https://coinmarketcap.com/currencies/liquity-usd/
Telcoin,https://coinmarketcap.com/currencies/telcoin/
Bitgert,https://coinmarketcap.com/currencies/bitrise-token/
LINK,https://coinmarketcap.com/currencies/link/
Safe,https://coinmarketcap.com/currencies/safe/
STASIS EURO,https://coinmarketcap.com/currencies/stasis-euro/
Merit Circle,https://coinmarketcap.com/currencies/merit-circle/
Baby Doge Coin,https://coinmarketcap.com/currencies/baby-doge-coin/
ZEON,https://coinmarketcap.com/currencies/zeon/
WEMIX,https://coinmarketcap.com/currencies/wemix/
Creditcoin,https://coinmarketcap.com/currencies/creditcoin/
Venus USDC,https://coinmarketcap.com/currencies/venus-usdc/
Veritaseum,https://coinmarketcap.com/currencies/veritaseum/
VVS Finance,https://coinmarketcap.com/currencies/vvs-finance/
USDX [Kava],https://coinmarketcap.com/currencies/usdx-kava/
Krypton DAO,https://coinmarketcap.com/currencies/krypton-dao/
Kaspa,https://coinmarketcap.com/currencies/kaspa/
Hooked Protocol,https://coinmarketcap.com/currencies/hooked-protocol/
LUKSO,https://coinmarketcap.com/currencies/lukso/
DeXe,https://coinmarketcap.com/currencies/dexe/
Ergo,https://coinmarketcap.com/currencies/ergo/
DAO Maker,https://coinmarketcap.com/currencies/dao-maker/
Acala Token,https://coinmarketcap.com/currencies/acala/
Status,https://coinmarketcap.com/currencies/status/
Decentralized Social,https://coinmarketcap.com/currencies/deso/
Anyswap,https://coinmarketcap.com/currencies/anyswap/
Fetch.ai,https://coinmarketcap.com/currencies/fetch/
OriginTrail,https://coinmarketcap.com/currencies/origintrail/
